,Sport,Date,Competition,Description
1689,Football,22-Dec 19:45,Scotland Challenge Cup,Montrose v Spartans FC
1690,Football,22-Dec 20:00,Gibraltar Premier Division,College 1975 v Lions Gibraltar
1691,Football,22-Dec 20:00,Spain Primera Division,Athletic Club Bilbao v Espanyol
1692,Football,22-Dec 20:00,Africa Cup Of Nations,Egypt v Zimbabwe
1693,Football,22-Dec 20:00,England Premier League,Fulham v Nottingham Forest
1694,Football,22-Dec 20:45,Portugal Primeira Liga,Benfica v Famalicao
1695,Football,22-Dec 20:45,Portugal Division 2,Lourosa v UD Oliveirense
1696,Football,22-Dec 23:00,Bolivia Cup,Bolivar v Nacional Potosi
1697,Football,23-Dec 05:30,Australia A-League Women,Melbourne City FC Women v Melbourne Victory Women
1698,Football,23-Dec 08:00,Liga Nusantara,Persika Karanganyar v Persinab Sang Maestro
1699,Football,23-Dec 08:00,Liga Nusantara,PSGC Ciamis v Persitara
1700,Football,23-Dec 08:15,Australia A-League,Melbourne City v Macarthur FC
1701,Football,23-Dec 08:30,Indonesia Liga 1,Arema Malang v Madura United FC
1702,Football,23-Dec 09:00,Myanmar National League,Rakhine Utd v Yarmanya United FC
1703,Football,23-Dec 09:30,Myanmar National League,Yadanarbon v Ispe
1704,Football,23-Dec 11:00,Spain Division de Honor U19 - Group 6,CF Arucas U19 v CD Union Sur Yaiza U19
1705,Football,23-Dec 11:00,Thailand T2,Prae United v Songkhla
1706,Football,23-Dec 12:00,Turkey Cup,Kocaelispor v Erzurum BB Spor
1707,Football,23-Dec 12:00,Liga Nusantara,Persibo Bojonegoro v Persikutim United
1708,Football,23-Dec 12:00,Indonesia Liga 1,Persijap Jepara v PSIM Yogyakarta
1709,Football,23-Dec 12:00,Kenya Premier League,Bidco United v AFC Leopards
1710,Football,23-Dec 12:00,Liga Nusantara,Persibo Bojonegoro v Persikutim United
1711,Football,23-Dec 12:00,Liga Nusantara,Pekanbaru v Perserang Serang
1712,Football,23-Dec 12:15,Malaysia Super League,Brunei DPMM FC v Penang FA
1713,Football,23-Dec 12:30,Africa Cup Of Nations,DR Congo v Benin
1714,Football,23-Dec 12:30,Egypt Cup,Ceramica Cleopatra v Abu Qir Semad
1715,Football,23-Dec 13:00,Club Friendly,Tombense v Desportiva ES
1716,Football,23-Dec 13:00,Iraq Stars League,Al Kahrabaa v Al Qasim
1717,Football,23-Dec 13:00,Malaysia Super League,PDRM v Selangor FA
1718,Football,23-Dec 13:00,Malaysia Super League,Terengganu FA v Sabah
1719,Football,23-Dec 13:45,AFC Champions League Two,Al Hussein SC v Ahal FC
1720,Football,23-Dec 14:00,Turkey Cup,Rizespor v Gaziantep BB SK
1721,Football,23-Dec 14:00,Turkey Cup,Genclerbirligi SK v Bodrum Belediyesi Bodrumspor
1722,Football,23-Dec 14:00,Turkey Cup,Karagumruk v Istanbulspor Region
1723,Football,23-Dec 14:00,Turkey Cup,Galatasaray v Basaksehir
1724,Football,23-Dec 14:00,Turkey Cup,Trabzonspor v Alanyaspor
1725,Football,23-Dec 14:00,Portugal Division 2,CS Maritimo v Penafiel
1726,Football,23-Dec 14:30,Turkey Cup,Torku Konyaspor v Antalyaspor
